FID,siteId,uwwCode,repCode,uwwName,uwwState,uwwE-PRTRCode,uwwCollectingSystem,uwwNUTS,uwwLoadEnteringUWWTP,uwwCapacity,uwwPrimaryTreatment,uwwSecondaryTreatment,uwwNRemoval,uwwPRemoval,uwwUV,uwwChlorination,uwwOzonation,uwwSandFiltration,uwwMicroFiltration,uwwSpecification,uwwBOD5Perf,uwwCODPerf,uwwTSSPerf,uwwNTotPerf,uwwPTotPerf,uwwOtherPerf,uwwBadPerfDesign,uwwLatitude,uwwLongitude,the_geom,uwwBODIncomingMeasured,uwwCODIncomingMeasured,uwwNIncomingMeasured,uwwPIncomingMeasured,uwwBODDischargeMeasured,uwwCODDischargeMeasured,uwwNDischargeMeasured,uwwPDischargeMeasured,uwwWasteWaterTreated,uwwMethodWasteWaterTreated,uwwRemarks,uwwDateClosing,uwwAccidents,uwwBadPerformance,uwwBODDischargeCalculated,uwwBODDischargeEstimated,uwwBODIncomingCalculated,uwwBODIncomingEstimated,uwwCODDischargeCalculated,uwwCODDischargeEstimated,uwwCODIncomingCalculated,uwwCODIncomingEstimated,uwwHistorie,uwwInformation,uwwNDischargeCalculated,uwwNDischargeEstimated,uwwNIncomingCalculated,uwwNIncomingEstimated,uwwPDischargeCalculated,uwwPDischargeEstimated,uwwPIncomingCalculated,uwwPIncomingEstimated,uwwOther,uwwTreatmentType,uwwTreatmentTypeRequired,uwwTreatmentMet,uwwPerformanceMet,uwwCompliance,repReportedPerdiod,uwwBeginLife,uwwEndLife
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-2088,2018_uww_UKENNW_UU_TP000097,UKENNW_UU_TP000097,UK,NORTHWICH STW,1,,ISCON,UKD63,59344,60165,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,,53.26319813,-2.54507613,POINT (-2.545076127 53.263198166044724),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,More Stringent: Phosphorus,0,0,NC,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-2087,2018_uww_UKENSW_WXW_TP000093,UKENSW_WXW_TP000093,UK,WAREHAM STW,1,,ISCON,UKK22,16853,18517,1,1,0,0,1,0,0,0,0,,P,P,NR,NR,NR,,,50.69881554,-2.09213561,POINT (-2.0921356119999994 50.69881557856133),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,More Stringent: Nitrogen and Other,0,0,NC,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-2086,2018_uww_UKWAWA_WW_TP000029,UKWAWA_WW_TP000029,UK,COLEFORD   STW,1,,ISCON,UKK13,20601,31136,1,1,0,1,0,0,0,0,0,,P,P,NR,NR,NR,,,51.77826141,-2.65183396,POINT (-2.65183396 51.77826144760011),,,,,,,,,,,Trade Effluent PE reduction of 5.5k,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,More Stringent: Phosphorus,1,0,NC,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-2085,2018_uww_UKENMI_ST_TP000010,UKENMI_ST_TP000010,UK,ASLOCKTON STW,1,,ISCON,UKF16,12373,16000,1,1,0,1,0,0,0,1,0,Chemical Dosing (iron),P,P,NR,NR,P,,,52.95768604,-0.9193929,POINT (-0.919392904 52.957686076385656),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,More Stringent: Phosphorus,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-2084,2018_uww_UKENMI_ST_TP000041,UKENMI_ST_TP000041,UK,BROCKHAMPTON STW,1,,ISCON,UKK13,16494,17000,1,1,0,1,0,0,0,0,1,Chemical dosing (iron) plus tertiary solids removal (cloth filter),P,P,NR,NR,P,,,51.93186355,-2.07966766,POINT (-2.07966766 51.931863587451396),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,More Stringent: Phosphorus,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-2083,2018_uww_UKENMI_ST_TP000061,UKENMI_ST_TP000061,UK,CODSALL STW,1,,ISCON,UKG24,13253,17000,1,1,0,1,0,0,0,1,0,Chemical Dosing (iron) plus Tertiary Solids Removal (Sand Filter),P,P,NR,NR,P,,,52.63129553,-2.17342754,POINT (-2.173427539 52.63129556673815),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,More Stringent: Phosphorus,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-2082,2018_uww_UKENMI_ST_TP000169,UKENMI_ST_TP000169,UK,PENKRIDGE STW,1,,ISCON,UKG24,13846,16000,1,1,0,1,0,0,0,0,0,Chemical Dosing (iron),P,P,NR,NR,P,,,52.74474473,-2.09403536,POINT (-2.094035363 52.74474476661701),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,More Stringent: Phosphorus,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-2081,2018_uww_UKENSO_SW_TP000084,UKENSO_SW_TP000084,UK,SCAYNES HILL STW,1,,ISCON,UKJ28,42127,42127,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,,51.00159007,-0.03598686,POINT (-0.035986862 51.001590108306836),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,More Stringent: Phosphorus,0,0,NC,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-2080,2018_uww_UKENSO_SW_TP000081,UKENSO_SW_TP000081,UK,BURGESS HILL   STW,1,,ISCON,UKJ28,62828,62828,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,,50.97014712,-0.16696968,POINT (-0.166969683 50.97014715833382),,,,,,,,,,,Increase in Cess Imports to works,,,,,,,,,,,,,,,,,,,,,,,Secondary,More Stringent: Phosphorus,0,0,NC,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-207f,2018_uww_UKENNW_UU_TP000004,UKENNW_UU_TP000004,UK,ALTRINCHAM STW,1,,ISCON,UKD34,44401,44401,1,1,0,1,0,0,0,0,0,,P,P,NR,NR,P,,,53.41018471,-2.37696313,POINT (-2.3769631250000005 53.41018474587702),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,More Stringent: Phosphorus,1,1,C,2018,2014-01-01T00:00:00,
